time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge
Time,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge,OuterVoltage,InnerVoltage,QuasiFermiPotential,DisplacementCurrent,eCurrent,hCurrent,TotalCurrent,Charge
0.27,1.3182154,1.3182154,0,0,1.5081246e-5,0,1.5081246e-5,3.4522335e-15,0,0,0,0,-1.5081514e-5,0,-1.5081514e-5,1.3722184e-15,1.5292973,1.5292973,0,0,1.088046e-11,-1.088046e-11,0,4.5343048e-15
0.275,1.3182154,1.3182154,0,0,1.5054889e-5,0,1.5054889e-5,3.4503701e-15,0,0,0,0,-1.505431e-5,0,-1.505431e-5,1.3722055e-15,1.5332062,1.5332062,0,0,1.3290499e-11,-1.3290499e-11,0,4.5514005e-15
0.28,1.3182154,1.3182154,0,0,1.5028864e-5,0,1.5028864e-5,3.4487965e-15,0,0,0,0,-1.5029458e-5,0,-1.5029458e-5,1.3721925e-15,1.5371151,1.5371151,0,0,1.4347853e-11,-1.4347853e-11,0,4.5687201e-15
0.285,1.3182154,1.3182154,0,0,1.5006527e-5,0,1.5006527e-5,3.4476603e-15,0,0,0,0,-1.5007293e-5,0,-1.5007293e-5,1.37218e-15,1.541024,1.541024,0,0,2.7364928e-11,-2.7364928e-11,0,4.5841615e-15
0.29,1.3182154,1.3182154,0,0,1.4976612e-5,0,1.4976612e-5,3.4459682e-15,0,0,0,0,-1.4977135e-5,0,-1.4977135e-5,1.3721663e-15,1.5449329,1.5449329,0,0,1.0641918e-11,-1.0641918e-11,0,4.6043083e-15
0.295,1.3182154,1.3182154,0,0,1.4959342e-5,0,1.4959342e-5,3.4451255e-15,0,0,0,0,-1.4960869e-5,0,-1.4960869e-5,1.3721547e-15,1.5488419,1.5488419,0,0,4.6778946e-11,-4.6778946e-11,0,4.6160992e-15
0.3,1.3182154,1.3182154,0,0,1.4927501e-5,0,1.4927501e-5,3.4435124e-15,0,0,0,0,-1.4927741e-5,0,-1.4927741e-5,1.3721404e-15,1.5527508,1.5527508,0,0,1.5848131e-11,-1.5848131e-11,0,4.6385296e-15
0.305,1.3182154,1.3182154,0,0,1.4903737e-5,0,1.4903737e-5,3.4421142e-15,0,0,0,0,-1.4904258e-5,0,-1.4904258e-5,1.3721277e-15,1.5566597,1.5566597,0,0,2.5208076e-11,-2.5208076e-11,0,4.6545826e-15
0.31,1.3182154,1.3182154,0,0,1.4879634e-5,0,1.4879634e-5,3.4408842e-15,0,0,0,0,-1.4880794e-5,0,-1.4880794e-5,1.3721149e-15,1.5605686,1.5605686,0,0,3.2088913e-11,-3.2088913e-11,0,4.6710341e-15
0.315,1.3182154,1.3182154,0,0,1.4846318e-5,0,1.4846318e-5,3.4385946e-15,0,0,0,0,-1.4846457e-5,0,-1.4846457e-5,1.3721009e-15,1.5644776,1.5644776,0,0,6.5339863e-12,-6.5339863e-12,0,4.692617e-15
